currentSamp,prevSamp,output
0.04408227592,0.04136808059,0.02377319336
0.04637530301,0.04408227592,0.0270690918
0.04791958656,0.04637530301,0.02984619141
0.04918309128,0.04791958656,0.03228759766
0.04974464894,0.04918309128,0.0341796875
0.04946387011,0.04974464894,0.03540039063
0.04904270187,0.04946387011,0.03625488281
0.0476856042,0.04904270187,0.03631591797
0.04548617006,0.0476856042,0.03576660156
0.04291236414,0.04548617006,0.03466796875
0.03926223938,0.04291236414,0.03305053711
0.03528453932,0.03926223938,0.03021240234
0.03079207808,0.03528453932,0.02709960938
0.0258784486,0.03079207808,0.02319335938
0.02077763324,0.0258784486,0.01867675781
0.01525564963,0.02077763324,0.01409912109
0.009920851905,0.01525564963,0.008850097656
0.004352071826,0.009920851905,0.003540039063
-0.001076318839,0.004352071826,-0.001953125
-0.006645098918,-0.001076318839,-0.007507324219
-0.012213879,-0.006645098918,-0.01290893555
-0.01778265908,-0.012213879,-0.01852416992
-0.02269628856,-0.01778265908,-0.02404785156
-0.02742273215,-0.02269628856,-0.02954101563
-0.03158761809,-0.02742273215,-0.0348815918
-0.03514414991,-0.03158761809,-0.03952026367
-0.03823271701,-0.03514414991,-0.04391479492
-0.04047894763,-0.03823271701,-0.04766845703
-0.0418360453,-0.04047894763,-0.05084228516
-0.04258478884,-0.0418360453,-0.05334472656
-0.04235080648,-0.04258478884,-0.05514526367
-0.04075972646,-0.04235080648,-0.05584716797
-0.03823271701,-0.04075972646,-0.05599975586
-0.0346761852,-0.03823271701,-0.05499267578
-0.03004333454,-0.0346761852,-0.05261230469
-0.02442775799,-0.03004333454,-0.04934692383
-0.01768906613,-0.02442775799,-0.04507446289
-0.01001444485,-0.01768906613,-0.0397644043
-0.001731469436,-0.01001444485,-0.03335571289
0.007674621285,-0.001731469436,-0.02603149414
0.01778265908,0.007674621285,-0.01776123047
0.02859264393,0.01778265908,-0.008911132813
0.04015137233,0.02859264393,0.001007080078
0.05255243721,0.04015137233,0.01168823242
0.06518748445,0.05255243721,0.02291870117
0.07824369993,0.06518748445,0.03494262695
0.09153389777,0.07824369993,0.04763793945
0.1055260427,0.09153389777,0.06045532227
0.1194245946,0.1055260427,0.07363891602
0.1331827572,0.1194245946,0.0871887207
0.1470345127,0.1331827572,0.1011047363
0.1605118964,0.1470345127,0.1149597168
0.1737085013,0.1605118964,0.1285095215
0.1858287873,0.1737085013,0.1420593262
0.1970599404,0.1858287873,0.1552429199
0.2070275888,0.1970599404,0.1675720215
0.2157785289,0.2070275888,0.1790466309
0.222938389,0.2157785289,0.1891784668
0.2288347444,0.222938389,0.1981811523
0.2330464268,0.2288347444,0.2057800293
0.2351990645,0.2330464268,0.211730957
0.235947808,0.2351990645,0.2164001465
0.2348714892,0.235947808,0.2190551758
0.231876515,0.2348714892,0.2200012207
0.2271968679,0.231876515,0.2191162109
0.2206921584,0.2271968679,0.2167663574
0.2127367583,0.2206921584,0.2121887207
0.2028627029,0.2127367583,0.2061157227
0.1914911604,0.2028627029,0.1983337402
0.1788093166,0.1914911604,0.1888122559
0.1642556141,0.1788093166,0.1778259277
0.1483916103,0.1642556141,0.1650695801
0.1314980842,0.1483916103,0.1511535645
0.1133878498,0.1314980842,0.1354370117
0.09462246487,0.1133878498,0.1184692383
0.07515513283,0.09462246487,0.1007080078
0.05498585372,0.07515513283,0.08184814453
0.03458259225,0.05498585372,0.06231689453
0.01422612726,0.03458259225,0.04238891602
-0.006130337734,0.01422612726,0.0217590332
-0.0265335992,-0.006130337734,0.001190185547
-0.04642209948,-0.0265335992,-0.01922607422
-0.06584263505,-0.04642209948,-0.03967285156
-0.08460802002,-0.06584263505,-0.05990600586
-0.1027650509,-0.08460802002,-0.07952880859
-0.1201733382,-0.1027650509,-0.09851074219
-0.1367860855,-0.1201733382,-0.1169128418
-0.1524629033,-0.1367860855,-0.1344909668
-0.1672973847,-0.1524629033,-0.1513366699
-0.1812427332,-0.1672973847,-0.1672973633
-0.1940181698,-0.1812427332,-0.1822509766
-0.2059980664,-0.1940181698,-0.1963500977
-0.2168080513,-0.2059980664,-0.2094421387
-0.2268692926,-0.2168080513,-0.2214660645
-0.2358074186,-0.2268692926,-0.2324523926
-0.2439500046,-0.2358074186,-0.2425537109
-0.2512502541,-0.2439500046,-0.2515869141
-0.2577081672,-0.2512502541,-0.2597351074
-0.263651319,-0.2577081672,-0.266998291
-0.2687521344,-0.263651319,-0.2734069824
-0.2734317815,-0.2687521344,-0.2792358398
-0.2775030745,-0.2734317815,-0.2842102051
-0.2811531993,-0.2775030745,-0.2887268066
